end_week,covid_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_deaths,influenza_deaths,pneumon_influ_or_covid,report_date
2/1/2020,0,"56,061",94,"2,991",0,,,4/3/2020
2/8/2020,0,"56,209",94,"2,985",0,,,4/3/2020
2/15/2020,0,"54,463",92,"2,863",0,,,4/3/2020
2/22/2020,0,"54,017",93,"2,833",0,,,4/3/2020
2/29/2020,5,"53,697",93,"2,831",2,,,4/3/2020
3/7/2020,16,"52,506",91,"2,826",5,,,4/3/2020
3/14/2020,41,"48,577",85,"2,730",17,,,4/3/2020
3/21/2020,300,"42,750",74,"2,642",121,,,4/3/2020
3/28/2020,788,"28,498",50,"2,040",324,,,4/3/2020
2/1/2020,0,"56,099",95,"2,993",0,,,4/6/2020
2/8/2020,0,"56,263",94,"2,986",0,,,4/6/2020
2/15/2020,0,"54,545",93,"2,868",0,,,4/6/2020
2/22/2020,0,"54,139",93,"2,841",0,,,4/6/2020
2/29/2020,5,"53,913",94,"2,845",2,,,4/6/2020
3/7/2020,18,"52,879",91,"2,853",7,,,4/6/2020
3/14/2020,42,"49,399",86,"2,789",18,,,4/6/2020
3/21/2020,337,"45,203",80,"2,823",136,,,4/6/2020
3/28/2020,"1,072","34,721",62,"2,533",425,,,4/6/2020
4/4/2020,415,"9,145",16,776,185,,,4/6/2020
2/1/2020,0,"56,266",95,"3,002",0,,,4/7/2020
2/8/2020,0,"56,587",95,"3,002",0,,,4/7/2020
2/15/2020,0,"55,189",94,"2,910",0,,,4/7/2020
2/22/2020,0,"54,761",94,"2,872",0,,,4/7/2020
2/29/2020,5,"54,305",95,"2,863",2,,,4/7/2020
3/7/2020,18,"53,418",92,"2,884",7,,,4/7/2020
3/14/2020,43,"50,580",89,"2,869",18,,,4/7/2020
3/21/2020,385,"47,649",84,"3,024",156,,,4/7/2020
3/28/2020,"1,406","41,353",74,"3,164",592,,,4/7/2020
4/4/2020,"1,450","20,281",36,"1,885",635,,,4/7/2020
2/1/2020,0,"56,266",95,"3,002",0,,,4/8/2020
2/8/2020,0,"56,587",95,"3,002",0,,,4/8/2020
2/15/2020,0,"55,189",94,"2,910",0,,,4/8/2020
2/22/2020,0,"54,761",94,"2,872",0,,,4/8/2020
2/29/2020,5,"54,305",95,"2,863",2,,,4/8/2020
3/7/2020,18,"53,418",92,"2,884",7,,,4/8/2020
3/14/2020,43,"50,580",89,"2,869",18,,,4/8/2020
3/21/2020,385,"47,649",84,"3,024",156,,,4/8/2020
3/28/2020,"1,406","41,353",74,"3,164",592,,,4/8/2020
4/4/2020,"1,450","20,281",36,"1,885",635,,,4/8/2020
2/1/2020,0,"56,381",95,"3,617",0,452,,4/9/2020
2/8/2020,0,"56,713",95,"3,599",0,482,,4/9/2020
2/15/2020,0,"55,237",94,"3,577",0,487,,4/9/2020
2/22/2020,0,"54,810",94,"3,418",0,501,,4/9/2020
2/29/2020,5,"54,401",111,"3,453",3,569,,4/9/2020
3/7/2020,18,"53,626",93,"3,538",11,553,,4/9/2020
3/14/2020,45,"50,942",89,"3,450",22,529,,4/9/2020
3/21/2020,415,"48,612",85,"3,706",192,435,,4/9/2020
3/28/2020,"1,764","44,532",80,"4,146",809,301,,4/9/2020
4/4/2020,"1,818","26,190",47,"2,726",842,158,,4/9/2020
2/1/2020,0,"56,402",95,"3,618",0,452,,4/10/2020
