data_as_of,start_week,end_week,group,state,indicator,covid_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_,footnote
2020-08-07T00:00:00.000,2020-02-01T00:00:00.000,2020-02-01T00:00:00.000,By week,United States,Week-ending,0,58462,.99000001,3786,0,479,4265,
2020-08-07T00:00:00.000,2020-02-08T00:00:00.000,2020-02-08T00:00:00.000,By week,United States,Week-ending,1,59217,.99000001,3791,0,520,4312,
2020-08-07T00:00:00.000,2020-02-15T00:00:00.000,2020-02-15T00:00:00.000,By week,United States,Week-ending,0,58530,.99000001,3812,0,555,4367,
2020-08-07T00:00:00.000,2020-02-22T00:00:00.000,2020-02-22T00:00:00.000,By week,United States,Week-ending,5,58614,1.01,3683,1,563,4250,
2020-08-07T00:00:00.000,2020-02-29T00:00:00.000,2020-02-29T00:00:00.000,By week,United States,Week-ending,7,58986,1.03,3810,4,652,4465,
2020-08-07T00:00:00.000,2020-03-07T00:00:00.000,2020-03-07T00:00:00.000,By week,United States,Week-ending,35,59210,1.02,3934,17,629,4580,
2020-08-07T00:00:00.000,2020-03-14T00:00:00.000,2020-03-14T00:00:00.000,By week,United States,Week-ending,52,57930,1.01,3919,27,612,4555,
2020-08-07T00:00:00.000,2020-03-21T00:00:00.000,2020-03-21T00:00:00.000,By week,United States,Week-ending,565,58660,1.03,4512,251,551,5370,
2020-08-07T00:00:00.000,2020-03-28T00:00:00.000,2020-03-28T00:00:00.000,By week,United States,Week-ending,3148,62658,1.12,6151,1423,440,8266,
2020-08-07T00:00:00.000,2020-04-04T00:00:00.000,2020-04-04T00:00:00.000,By week,United States,Week-ending,9954,71906,1.29,9872,4731,477,15336,
2020-08-07T00:00:00.000,2020-04-11T00:00:00.000,2020-04-11T00:00:00.000,By week,United States,Week-ending,16106,78663,1.42,11940,7199,472,20979,
2020-08-07T00:00:00.000,2020-04-18T00:00:00.000,2020-04-18T00:00:00.000,By week,United States,Week-ending,17005,76345,1.41,11353,7284,265,21150,
2020-08-07T00:00:00.000,2020-04-25T00:00:00.000,2020-04-25T00:00:00.000,By week,United States,Week-ending,15354,73368,1.36,10318,6579,143,19140,
2020-08-07T00:00:00.000,2020-05-02T00:00:00.000,2020-05-02T00:00:00.000,By week,United States,Week-ending,13078,68786,1.28,8897,5494,65,16526,
2020-08-07T00:00:00.000,2020-05-09T00:00:00.000,2020-05-09T00:00:00.000,By week,United States,Week-ending,11095,66303,1.26,7778,4681,47,14229,
2020-08-07T00:00:00.000,2020-05-16T00:00:00.000,2020-05-16T00:00:00.000,By week,United States,Week-ending,9095,63921,1.22,6693,3745,20,12060,
2020-08-07T00:00:00.000,2020-05-23T00:00:00.000,2020-05-23T00:00:00.000,By week,United States,Week-ending,7087,60932,1.17,5805,2937,23,9974,
2020-08-07T00:00:00.000,2020-05-30T00:00:00.000,2020-05-30T00:00:00.000,By week,United States,Week-ending,6038,58847,1.14,5182,2445,12,8787,
2020-08-07T00:00:00.000,2020-06-06T00:00:00.000,2020-06-06T00:00:00.000,By week,United States,Week-ending,4920,57776,1.1,4802,2111,11,7622,
2020-08-07T00:00:00.000,2020-06-13T00:00:00.000,2020-06-13T00:00:00.000,By week,United States,Week-ending,4118,56494,1.09,4419,1836,11,6709,
2020-08-07T00:00:00.000,2020-06-20T00:00:00.000,2020-06-20T00:00:00.000,By week,United States,Week-ending,3696,55609,1.08,4192,1560,6,6334,
2020-08-07T00:00:00.000,2020-06-27T00:00:00.000,2020-06-27T00:00:00.000,By week,United States,Week-ending,3604,54818,1.0700001,3980,1480,10,6113,
2020-08-07T00:00:00.000,2020-07-04T00:00:00.000,2020-07-04T00:00:00.000,By week,United States,Week-ending,4095,54667,1.05,4137,1817,4,6416,
2020-08-07T00:00:00.000,2020-07-11T00:00:00.000,2020-07-11T00:00:00.000,By week,United States,Week-ending,4839,54904,1.0700001,4785,2292,7,7339,
2020-08-07T00:00:00.000,2020-07-18T00:00:00.000,2020-07-18T00:00:00.000,By week,United States,Week-ending,5230,52467,1.02,4772,2486,11,7524,
2020-08-07T00:00:00.000,2020-07-25T00:00:00.000,2020-07-25T00:00:00.000,By week,United States,Week-ending,3846,44290,.87,3748,1798,7,5800,
2020-08-07T00:00:00.000,2020-08-01T00:00:00.000,2020-08-01T00:00:00.000,By week,United States,Week-ending,1100,24318,.47,1525,521,4,2108,
2020-08-07T00:00:00.000,2020-02-01T00:00:00.000,2020-02-01T00:00:00.000,By week,Alabama,Week-ending,0,1022,.94,56,0,14,70,
2020-08-07T00:00:00.000,2020-02-08T00:00:00.000,2020-02-08T00:00:00.000,By week,Alabama,Week-ending,0,1114,1,61,0,10,71,
